VR_NUMBER,LATITUDE,LONGITUDE,POSITION_UTC_DATE
4031,44.041689999999996,-64.71619,2018-05-25 07:00:00
104244,44.403259999999996,-63.930279999999996,2018-05-25 07:00:00
100009,44.482949999999995,-63.596509999999995,2018-05-25 07:00:00
104466,44.52621,-63.06033,2018-05-25 07:00:00
108372,44.53691,-57.490489999999994,2018-05-25 07:00:00
157972,44.539719999999996,-63.475269999999995,2018-05-25 07:00:00
108354,44.61118,-63.495639999999995,2018-05-25 07:00:00
19636,44.62455,-65.75204,2018-05-25 07:00:00
5660,44.62506,-65.75162999999999,2018-05-25 07:00:00
103157,44.62544,-65.75211,2018-05-25 07:00:00
108105,44.626034999999995,-65.75300299999999,2018-05-25 07:00:00
130005,44.62629,-65.75307,2018-05-25 07:00:00
18107,44.63382,-65.74817999999999,2018-05-25 07:00:00
107715,44.640429999999995,-65.75298,2018-05-25 07:00:00
5665,44.642669999999995,-65.74528,2018-05-25 07:00:00
20010,44.656569999999995,-63.9461,2018-05-25 07:00:00
106404,44.661919999999995,-66.75607,2018-05-25 07:00:00
102339,44.668006,-60.155555,2018-05-25 07:00:00
108090,44.76236,-66.74902999999999,2018-05-25 07:00:00
101593,44.88359,-65.96439,2018-05-25 07:00:00
103394,44.943523,-66.920558,2018-05-25 07:00:00
108037,44.943694,-66.920472,2018-05-25 07:00:00
108148,44.944209,-66.920129,2018-05-25 07:00:00
107202,44.94921,-65.26545999999999,2018-05-25 07:00:00
106991,44.94927,-65.26553,2018-05-25 07:00:00
103923,45.12217,-66.35123,2018-05-25 07:00:00
107042,45.33231,-64.77552,2018-05-25 07:00:00
138113,45.339287999999996,-60.997811,2018-05-25 07:00:00
106148,45.502500000000005,-60.963800000000006,2018-05-25 07:00:00
108292,45.580472,-64.952546,2018-05-25 07:00:00
108233,45.582189,-60.740319,2018-05-25 07:00:00
108029,45.5824,-60.74023,2018-05-25 07:00:00
108379,45.689319999999995,-60.280249999999995,2018-05-25 07:00:00
105562,45.918388,-59.960204,2018-05-25 07:00:00
106683,45.920429999999996,-59.96789,2018-05-25 07:00:00
107773,46.19634,-59.950359999999996,2018-05-25 07:00:00
106623,46.284369999999996,-60.146029999999996,2018-05-25 07:00:00
108176,46.629549999999995,-60.41048,2018-05-25 07:00:00
107899,41.392707,-61.623345,2018-05-25 07:00:01
152320,41.9548,-66.1945,2018-05-25 07:00:01
106604,42.11595,-66.90541,2018-05-25 07:00:01
106881,42.189209999999996,-65.96314,2018-05-25 07:00:01
106881,42.18929,-65.96306,2018-05-25 07:00:01
105736,42.439139999999995,-66.3005,2018-05-25 07:00:01
137828,43.46776,-66.33492,2018-05-25 07:00:01
106658,43.477277,-66.36969599999999,2018-05-25 07:00:01
106210,43.630142,-65.770169,2018-05-25 07:00:01
101881,43.804635,-67.023125,2018-05-25 07:00:01
4062,43.81509,-61.2293,2018-05-25 07:00:01
103210,44.47546,-63.597449999999995,2018-05-25 07:00:01
100247,44.477891,-63.600111999999996,2018-05-25 07:00:01
107918,44.478235,-63.599081999999996,2018-05-25 07:00:01
103677,44.624576,-65.752145,2018-05-25 07:00:01
106509,44.6254,-65.75305,2018-05-25 07:00:01
105953,44.62564,-65.75271,2018-05-25 07:00:01
107819,44.62602,-65.75316,2018-05-25 07:00:01
106661,44.645739999999996,-65.74853999999999,2018-05-25 07:00:01
100993,44.66307,-66.75628,2018-05-25 07:00:01
104994,44.729118,-63.008567,2018-05-25 07:00:01
100967,44.729118,-63.008395,2018-05-25 07:00:01
7488,44.73657,-62.8309,2018-05-25 07:00:01
108345,44.76216,-66.74869,2018-05-25 07:00:01
106311,44.899834999999996,-65.926896,2018-05-25 07:00:01
105716,44.943608999999995,-66.920214,2018-05-25 07:00:01
107553,45.030719999999995,-58.92082,2018-05-25 07:00:01
108065,45.053987,-66.798592,2018-05-25 07:00:01
106050,45.274142999999995,-66.068345,2018-05-25 07:00:01
107204,45.33307,-60.107000000000006,2018-05-25 07:00:01
102680,45.33895,-60.9971,2018-05-25 07:00:01
108358,45.339031,-60.995494,2018-05-25 07:00:01
104252,45.3586,-65.53327999999999,2018-05-25 07:00:01
104917,45.717200000000005,-60.245169999999995,2018-05-25 07:00:01
161024,45.837449,-60.045176,2018-05-25 07:00:01
106712,45.83873,-60.109700000000004,2018-05-25 07:00:01
160602,46.006364,-59.840641999999995,2018-05-25 07:00:01
107856,46.041297,-59.748115999999996,2018-05-25 07:00:01
105434,46.07816,-59.883579999999995,2018-05-25 07:00:01
107550,46.19481,-59.951989999999995,2018-05-25 07:00:01
105904,46.19582,-59.950979999999994,2018-05-25 07:00:01
130029,46.19755,-59.94898,2018-05-25 07:00:01
100602,46.20738,-60.220099,2018-05-25 07:00:01
108268,46.21095,-60.242309999999996,2018-05-25 07:00:01
107916,44.62581,-65.75352,2018-05-25 07:00:02
158986,46.873039999999996,-62.974669999999996,2018-05-25 07:00:02
73907,45.057221999999996,-66.796666,2018-05-25 07:00:07
18437,45.3386,-60.9955,2018-05-25 07:00:10
105367,41.37102,-61.670519999999996,2018-05-25 07:00:16
159283,43.61868,-65.78658,2018-05-25 07:00:16
105126,43.7121,-65.98476,2018-05-25 07:00:16
100461,44.1927,-66.16584,2018-05-25 07:00:16
106170,44.24292,-66.29796,2018-05-25 07:00:16
104735,44.47674,-63.60228,2018-05-25 07:00:16
105507,44.47764,-63.598859999999995,2018-05-25 07:00:16
130292,44.478179999999995,-63.5994,2018-05-25 07:00:16
106109,44.48232,-63.594539999999995,2018-05-25 07:00:16
101044,44.61156,-63.49554,2018-05-25 07:00:16
5265,44.624700000000004,-65.75184,2018-05-25 07:00:16
5679,44.62596,-65.75256,2018-05-25 07:00:16
5725,44.726400000000005,-65.7963,2018-05-25 07:00:16
104684,45.06894,-66.7395,2018-05-25 07:00:16
107768,45.213300000000004,-58.62258,2018-05-25 07:00:16
100745,45.50598,-60.961679999999994,2018-05-25 07:00:16
2137,45.916019999999996,-59.97654,2018-05-25 07:00:16
